Station;StartedTrips
Bassin olympique (Chemin du Chenal le Moyne);1070
St-Joseph / 21e avenue Lachine;1066
Centre des loisirs (Tassé / Grenet);1063
Parc Reine-Élizabeth (Penniston / Crawford);1040
Sabrevois / des Récollets;1034
Parc du Bois-Franc (de l'Équateur / des Andes);1032
des Récollets / Martial;1031
Parc Painter (Marcotte / Quenneville);1029
Fleury / de St-Firmin;1023
Northcliffe / Notre-Dame-de-Grâce;1022
Beaudet / Marcel-Laurin;1002
Parc du Pélican (Laurier/ 2e avenue);981
Parc Turin (Chambord / Jean-Talon);981
Parc LaSalle (10e avenue / Victoria);971
Notre-Dame / Liébert;966
St-Charles / Grant;944
Parc de Beauséjour (Gouin / Henri-d'Arles);925
St-Joseph Lachine / 21e avenue;921
Parc Highlands (Highlands / LaSalle);919
Ste-Croix / Tassé;914
Duchesneau / de Marseille;905
Métro Lionel-Groulx (Walker / Saint-Jacques);899
Parc Chamberland (Dorais / de l'Église);889
Terminus Newman (Airlie / Lafleur);856
Parc Outremont (Bloomfield / St-Viateur);855
Place Longueuil;853
LaSalle / 90e avenue;842
Darling / Sherbrooke;805
Parc Wilfrid-Bastien (Lacordaire / des Galets);801
Robin / 15e rue;786
Parc Hébert (Provencher / Buies);781
8e avenue / Notre-Dame Lachine;779
de Belleville / Fleury;772
Parc d'Antioche (Place d'Antioche / St-Zotique);761
St-Charles / Montarville;732
Parc Summerlea (53e avenue / St-Joseph);725
Parc St-Claude (7e avenue / 8e rue);724
Mozart / Casgrain;722
St-Jean-Baptiste / René-Lévesque;719
Parc Joseph-Robin (18e avenue / Everett);707
Parc Ottawa (de Belleville / Fleury);681
Ateliers municipaux de St-Laurent (Cavendish / Poirier);675
St-Charles / St-Sylvestre;659
Fabrik8 (Waverly / Jean-Talon);643
Parc Stoney-Point (St-Joseph / 47e avenue);625
du Souvenir / Chomedey;615
Bishop/ René-Lévesque;610
de l'Hôtel-de-Ville / St-Joseph;603
Parc Delorme (Malouin / Laferté);585
du Tricentenaire / Prince-Albert;583
Parc Ferland (Belleherbe / Albanel);579
Parc St-Laurent (Dutrisac);562
Complexe sportif Claude Robillard (Émile-Journault);558
Fleury / André-Jobin;558
Labelle / Ste-Catherine;556
Alexis-Nihon / St-Louis;548
Parc St-Laurent (Salk / Thomas-Chapais);547
Mairie d'arrondissement LaSalle (Dupras / Jeannette);540
Cégep Marie-Victorin;537
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny);527
Métro de la Concorde (Léo-Lacombe);524
CHSLD Robert Cliche (de Bellechasse / 16e avenue);513
Saint-Viateur / Casgrain;508
6e avenue / Villeray;491
2e avenue /centrale;488
Parc Chopin (Dumouchel / Tessier);472
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard);461
Collège de Rosemont (15e avenue / Beaubien);454
Hutchison / Beaumont;451
Parc Beaulac (rue Élizabeth);448
Parc Beaubien Outremont (Stuart / St-Viateur);446
Langelier / Marie-Victorin;443
Parc Noel-Nord (Toupin / Keller);439
des Bassins / Richmond;433
King / de la Commune;430
Parc Olympique (Pie-IX / Sherbrooke);424
Place du Village (St-Jean-Baptiste / Notre-Dame);423
Louisbourg / O'brien;419
St-Viateur / St-Laurent;414
Garnier / du Mont-Royal;405
Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi);403
Parc Grovehill (St-Antoine / Ivan-Franko);385
Parc Beaubien (Stuart / St-Viateur);382
St-Hubert / René-Lévesque;381
Métro St-Laurent Dépôt ( de Maisonneuve / St-Laurent);370
Aylmer/ Sainte-Catherine;364
Parc Ivan-Franko (33e avenue / Victoria);355
41e avenue / Victoria;346
Dixie / 54e avenue;329
Parc Marlborough (Beauzèle / Robichaud);325
Place du Village-de-la-Pointe-aux-Trembles (St-Jean-Baptiste / Notre-Dame);324
St-Charles / Labonté;319
Parc Henri-Dunant (Léger / Henri-Dunant);314
St-Joseph /21e avenue Lachine;305
Parc Nicolas-Tillemont (des Érables / Villeray);304
19e avenue / St-Antoine;297
Dandurand / des Érables;294
Parc Maurice Bélanger (Hebert / Forest);294
du Mont-Royal / Laurendeau;285
8e avenue / Jarry;271
Parc Sauvé (Balzac / de Bayonne);271
Métro Cadillac (Cadillac / Sherbrooke);265
de Grosbois / Ducheneau;258
Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault);256
Ropery / Grand Trunk;252
Parc St-Paul (Marc-Sauvalle / Le Caron);235
21e avenue / St-Joseph Lachine;222
Place du Canada ( Peel / de la Gauchetière);213
Drolet / Faillon;205
Parc Hébert (Colbert / Provencher);197
de l’hôtel de ville / Saint-Joseph;178
8e avenue / Saint-Joseph Lachine;176
Berri /Ste-Catherine;170
St-Gérard / Villeray;170
Letourneaux / Ste-Catherine;167
Parc Garibaldi (Liénart / Bélanger);163
Maguire / St-Dominique;158
IUSMM (Georges-Villeneuve);153
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin);148
Parc de Montréal-Est (Notre-Dame Est / David);145
Gare Montpellier (Muir / de la Côte-Vertu);142
Parc Eusèbe-Ménard (Gouin / St-Vital);141
Parc Aimé-Léonard (Gouin / Ste-Gertrude);140
Parc Langelier - Marie-Victorin;139
de Normanville / Jean-Talon;137
Parc Chenier (de l'Aréna / Chenier);126
Dépôt Festivals ( de Maisonneuve / St-Laurent);114
Parc Maurice-Bélanger (Hébert / Denommée);111
de la Rotonde / Jacques-Le Ber;107
de la Pépinière / Pierre-de-Coubertin;105
Parc MacDonald (Earnscliffe / Dupuis);105
Parc Labelle (Lasalle/ Henri Duhamel);102
Laurier / Parisi;101
Parc Courbertin (Valéry / Perrier);88
Parc de l'Hôtel-de-Ville (Laurendeau / Ste-Julie);84
Alton-Goldbloom / Notre-Dame;78
Parc Henri-Durant (Léger / Henri-Durant);73
Parc d'Antioche ( Place d'Antioche / St-Zotique);71
CHSLD Joseph-François-Perrault (St-Michel / Everett);66
Terminus Le Carrefour (Terry-Fox / Le Carrefour);65
Parc Saint-Laurent (Dutrisac);61
Dixie / 53e avenue;56
Parc du Mail (Bois de Coulonges / du Mail);56
Gare St-Michel / Montréal-Nord (Pie-IX / 56e);53
Parc Angrignon ( Lacroix / des Trinitaires);48
Parc Hébert ( Provencher / Buies);42
Mayfield / St-Martin O;41
Parc des Vétérans (des Vétérans / Broadway);40
19e avenue / Saint-Antoine;37
Berri/ Duluth;37
Centre récréatif Édouard-Rivet (Lesage / Notre-Dame);37
de Chenonceau / Chomedey;37
Parc Dixie (54e avenue / Dixie);35
Parc Maurice Bélanger (Forest / de l'Hôtel-de-Ville);35
du Mans / des Alouettes;33
Sainte-Catherine / Union;32
Gare du Ruisseau (Dutrisac / Henri-Bourassa);31
Parc Charleroi (Alfred / Louis-Francoeur);27
18e avenue / St-Joseph Lachine;25
McNamara / St-Martin O;25
Legrand / Laurier;23
Terminus Le Carrefour (Terry-Fox / Le Carr);22
11e avenue / du Souvenir;18
Duchesneau / Marseille;18
Parc Angrignon (Lacroix / des Trinitaires);18
Pierre-Péladeau / du Centropolis;16
Jeanne-Mance / St-Martin O;15
Le Corbusier / St-Martin O;14
Parc Armand-Bombardier (Perras / Armand-Bombardier);9
Préfontaine / Marcel-Pépin;6
René-Lévesque / 9e avenue;6
Marmier;4
de Grenoble / de Cassis;2
René- Lévesque /Papineau;2
Robert Bourassa / Sainte-Catherine;2
BAnQ (Berri);0
Bordeaux / Mont-Royal;0
CHU Sainte-Justine (Côte Sainte-Catherine / Hudson);0
d'Iberville / Fleury;0
de Bellechasse / Pie-IX;0
de Brébeuf / Gilford;0
de Chambly / de Rouen;0
de l'Hôtel-de-Ville / Villeneuve;0
de la Roche / Marie-Anne;0
de Maisonneuve / Mansfield SE;0
Delisle / George-Vanier;0
Duchesneau/Marseille;0
Duluth  / St-Denis;0
Duluth  / St-Denis (2);0
Duluth / du Parc;0
Evans / Clark;0
Gare Lachine (Sir George Simpson / 48e avenue);0
Grenet / Poirier;0
Hochelaga / de l'Assomption;0
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré);0
Irene / St-Jacques;0
Jeanne Le Moyne / Jacques-Le Ber;0
Keller / Cousineau;0
Montmorency / Richardson;0
Métro Beaudry ( Beaudry / Ste-Catherine);0
Métro Beaudry ( Montcalm / Ste-Catherine);0
Métro Beaudry (Beaudry / Ste-Catherine);0
Métro Plamondon (Carlton / Victoria);0
Parc Ernest-Rouleau (Gouin);0
Parc Jeanne-Mance (monument à sir George-Étienne Cartier);0
Place des Festivals ( du Président-Kennedy / de Bleury);0
Soeurs-Grises / Margueritte d'Youville;0
Square Nelligan (des Appalaches / Alexis-Nihon);0
Square Viger (Berri / Viger);0
St-Henri / Gauvin;0
St-Hubert / de Maisonneuve (nord);0
St-Hubert / de Maisonneuve (sud);0
St-Laurent / St-Jacques;0
St-Marc / Ste-Catherine;0
St-Mathieu / Baile;0
St-Mathieu / Tupper;0
Ste-Catherine / Bishop;0
Ste-Catherine / St-Mathieu;0
University / des Pins;0
